date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-03-22,sh.000001,3249.5428,3279.1127,3239.5323,3259.8619,3253.6857,36119615800,402798964045.8000,3,0.921064,1,0.189822,0
2022-03-23,sh.000001,3264.7923,3279.8868,3251.9817,3271.0325,3259.8619,34987537000,405422033501.5000,3,0.891732,1,0.342671,0
2022-03-24,sh.000001,3256.0573,3266.8866,3236.6592,3250.2644,3271.0325,32900665400,390727516516.5000,3,0.838530,1,-0.634910,0
2022-03-25,sh.000001,3247.1568,3257.1061,3211.6445,3212.2399,3250.2644,34002000600,389770395977.7000,3,0.866594,1,-1.169889,0
2022-03-28,sh.000001,3185.1668,3230.2153,3159.8348,3214.5027,3212.2399,34499487300,374472279969.9000,3,0.879162,1,0.070443,0
2022-03-29,sh.000001,3216.0118,3229.1766,3196.4553,3203.9393,3214.5027,31627364900,363964468654.2000,3,0.805897,1,-0.328617,0
2022-03-30,sh.000001,3217.5921,3266.5959,3216.3023,3266.5959,3203.9393,36675367700,413008941329.0000,3,0.934467,1,1.955611,0
2022-03-31,sh.000001,3256.1369,3272.0400,3246.0630,3252.2029,3266.5959,39843993400,428089033635.3000,3,1.015162,1,-0.440612,0
2022-04-01,sh.000001,3234.6680,3287.2285,3226.2965,3282.7166,3252.2029,37821046000,405675715433.2000,3,0.963521,1,0.938247,0
2022-04-06,sh.000001,3269.4270,3288.1080,3255.6894,3283.4261,3282.7166,42964277900,433556392484.4000,3,1.094343,1,0.021613,0
2022-04-07,sh.000001,3267.8103,3290.2561,3236.4791,3236.6951,3283.4261,40262666000,398081845472.6000,3,1.025530,1,-1.423239,0
2022-04-08,sh.000001,3239.8767,3257.0938,3208.3521,3251.8502,3236.6951,41382679900,414037258374.8000,3,1.053736,1,0.468228,0
2022-04-11,sh.000001,3239.8550,3239.8550,3156.5066,3167.1259,3251.8502,42416018500,435129505094.7000,3,1.079814,1,-2.605418,0
2022-04-12,sh.000001,3165.1197,3214.5359,3140.8998,3213.3295,3167.1259,41832192300,422455849024.5000,3,1.064637,1,1.458849,0
2022-04-13,sh.000001,3199.7972,3225.4670,3183.5330,3186.8244,3213.3295,39115692500,398216898477.4000,3,0.995445,1,-0.824848,0
2022-04-14,sh.000001,3203.6337,3240.0014,3200.2346,3225.6412,3186.8244,37124234400,401191632081.2000,3,0.944759,1,1.218040,0
2022-04-15,sh.000001,3210.6996,3229.8655,3200.1332,3211.2448,3225.6412,40784208200,413498819916.5000,3,1.037725,1,-0.446311,0
2022-04-18,sh.000001,3185.9428,3204.0274,3166.9782,3195.5240,3211.2448,34736512300,366380807917.7000,3,0.883675,1,-0.489555,0
2022-04-19,sh.000001,3192.0924,3207.8276,3174.7138,3194.0287,3195.5240,33994410400,362769876685.7000,3,0.864789,1,-0.046794,0
2022-04-20,sh.000001,3189.8912,3191.8315,3142.0485,3151.0498,3194.0287,36204703700,373572708095.7000,3,0.920834,1,-1.345602,0
2022-04-21,sh.000001,3138.4276,3160.8994,3069.6809,3079.8077,3151.0498,39193469400,396542033946.7000,3,0.996796,1,-2.260900,0
2022-04-22,sh.000001,3058.4044,3105.6552,3049.3555,3086.9193,3079.8077,34200056300,348793631074.8000,3,0.869586,1,0.230911,0
2022-04-25,sh.000001,3034.2667,3043.8156,2928.5096,2928.5118,3086.9193,43360610800,427077210434.4000,3,1.102505,1,-5.131572,0
2022-04-26,sh.000001,2930.4532,2957.6800,2878.2563,2886.4257,2928.5118,40161515400,395985961275.4000,3,1.021048,1,-1.437116,0
2022-04-27,sh.000001,2866.8161,2959.1781,2863.6497,2958.2820,2886.4257,42306019100,422928346515.2000,3,1.075468,1,2.489456,0
2022-04-28,sh.000001,2945.8109,2991.5101,2936.7941,2975.4848,2958.2820,37537177500,388743021897.8000,3,0.954165,1,0.581513,0
2022-04-29,sh.000001,2986.0606,3048.4941,2968.3340,3047.0624,2975.4848,42393279400,440422728847.8000,3,1.077002,1,2.405578,0
2022-05-05,sh.000001,3044.8491,3082.2295,3042.1155,3067.7587,3047.0624,38307287500,409352003238.8000,3,0.973049,1,0.679221,0
2022-05-06,sh.000001,3011.3187,3030.6926,2992.7152,3001.5605,3067.7587,34326421800,346214397719.6000,3,0.871865,1,-2.157869,0
2022-05-09,sh.000001,2990.1990,3015.9425,2983.6119,3004.1409,3001.5605,29206155600,299983258910.4000,3,0.741464,1,0.085969,0
2022-05-10,sh.000001,2965.7759,3043.7789,2957.3968,3035.8442,3004.1409,37066098000,384012598374.9000,3,0.940986,1,1.055320,0
2022-05-11,sh.000001,3035.3893,3100.8998,3034.6745,3058.7027,3035.8442,42399191200,472963382230.8000,3,1.076181,1,0.752954,0
2022-05-12,sh.000001,3044.7997,3072.1574,3032.9452,3054.9940,3058.7027,34444047700,368879652308.0000,3,0.874208,1,-0.121251,0
2022-05-13,sh.000001,3068.0331,3086.0957,3059.2527,3084.2845,3054.9940,33173785200,340942192652.9000,3,0.841904,1,0.958774,0
2022-05-16,sh.000001,3100.5500,3102.5770,3063.3977,3073.7488,3084.2845,33810849200,348957705493.7000,3,0.858200,1,-0.341593,0
2022-05-17,sh.000001,3076.4982,3093.6965,3057.6406,3093.6965,3073.7488,33035653700,351671298470.6000,3,0.838180,1,0.648970,0
2022-05-18,sh.000001,3095.8862,3105.8419,3071.3050,3085.9768,3093.6965,31503792300,338849162214.0000,3,0.799278,1,-0.249530,0
2022-05-19,sh.000001,3046.7104,3096.9648,3042.6742,3096.9648,3085.9768,33660074900,360018210692.0000,3,0.853725,1,0.356062,0
2022-05-20,sh.000001,3107.0941,3146.5673,3107.0941,3146.5673,3096.9648,37233663600,415306218189.0000,3,0.944214,1,1.601649,0
2022-05-23,sh.000001,3150.4898,3150.5093,3127.8986,3146.8573,3146.5673,35337632500,381178569221.6000,3,0.895889,1,0.009216,0
2022-05-24,sh.000001,3149.0590,3153.1299,3070.9272,3070.9272,3146.8573,41631215800,438605376463.8000,3,1.055121,1,-2.412887,0
2022-05-25,sh.000001,3070.1702,3107.6279,3069.9459,3107.4641,3070.9272,34225922700,342322167668.5000,3,0.867249,1,1.189768,0
2022-05-26,sh.000001,3111.4817,3133.2767,3079.4812,3123.1079,3107.4641,37030551800,377364655262.0000,3,0.938172,1,0.503427,0
2022-05-27,sh.000001,3135.0315,3151.0470,3112.5443,3130.2394,3123.1079,35946386600,372631595527.1000,3,0.910627,1,0.228346,0
2022-05-30,sh.000001,3141.9560,3150.8923,3123.1495,3149.0607,3130.2394,34936228500,376667694193.1000,3,0.883622,1,0.601274,0
2022-05-31,sh.000001,3149.9443,3188.6026,3142.0044,3186.4271,3149.0607,37452326500,432528021880.2000,3,0.947075,1,1.186589,0
2022-06-01,sh.000001,3179.6949,3190.6094,3160.0399,3182.1566,3186.4271,36566443200,402419941241.2000,3,0.924423,1,-0.134022,0
2022-06-02,sh.000001,3170.3055,3197.2818,3163.7555,3195.4580,3182.1566,36177063200,413729263916.9000,3,0.914356,1,0.418000,0
2022-06-06,sh.000001,3196.9552,3237.0710,3181.6470,3236.3719,3195.4580,42202783500,517314346904.0000,3,1.065908,1,1.280377,0
2022-06-07,sh.000001,3235.4160,3253.0930,3222.6354,3241.7635,3236.3719,40220322000,482203196909.9000,3,1.015754,1,0.166594,0
2022-06-08,sh.000001,3245.0173,3266.6298,3216.0148,3263.7934,3241.7635,43418327000,508408534896.8000,3,1.096122,1,0.679565,0
2022-06-09,sh.000001,3259.4899,3270.5571,3223.4751,3238.9543,3263.7934,42272837200,468458214289.7000,3,1.066772,1,-0.761050,0
2022-06-10,sh.000001,3214.1848,3286.6195,3210.8083,3284.8341,3238.9543,43986573000,504153681088.1000,3,1.107506,1,1.416500,0
